PoidsSpec,NoEssai,NoBloc,NoTraitement,ID,ID_bl,DensitePlants,PrecCropFiveClasses,Cultivar,Maturity5,growing.season,temp_moy_5years,prec_tot_5years,sdi_5years,gdd_5years,NtotDose,PtotDose,KtotDose,soilTextIlr1,soilTextIlr2,soilTextIlr3,soilTypeIlr1_3,soilTypeIlr2_3,soil_pH,soil_P1_Fv.AlP,soil_P1_Al.P,soil_K2_FvMgCa.K,soil_K2_Fv.MgCa,soil_K2_Mg.Ca,soil_P,soil_K,soil_Al,ISP1,test_type
1.08107,72,3,9,72-3-9,72-3,36430,LRC,Kennebec,mid-season,125,17.207006984126984,441.40000000000003,-0.7180415222900665,2154.2200000000003,140,215,120,2.7544390354259116,0.503193318440905,-0.24959962218664067,-2.384684059784833,-2.4054598201063713,5.02,-6.831281952127199,2.506456862029206,-3.1796352379566346,-6.533159316031489,2.191917918442026,39.4562963,122.4755556,1366.296296,2.8878286807563738,N
1.07608,73,1,1,73-1-1,73-1,43716,Cereal,Superior,early mid-season,106,17.799109504496563,444.46,-0.71954842004721975,1890.4,0,215,120,2.5326414056253452,0.503193318440905,-0.24959962218664067,-2.384684059784833,-2.4054598201063713,5.17,-6.867963067881677,2.530161691650005,-3.188912421329783,-6.495605041262047,2.155783759394293,37.09740741,124.9385185,1328.407407,2.792622746193405,N
1.07826,73,1,2,73-1-2,73-1,43716,Cereal,Superior,early mid-season,106,17.799109504496563,444.46,-0.71954842004721975,1890.4,70,215,120,2.5326414056253452,0.503193318440905,-0.24959962218664067,-2.384684059784833,-2.4054598201063713,5.17,-6.867963067881677,2.530161691650005,-3.188912421329783,-6.495605041262047,2.155783759394293,37.09740741,124.9385185,1328.407407,2.792622746193405,N
1.07695,73,1,3,73-1-3,73-1,43716,Cereal,Superior,early mid-season,106,17.799109504496563,444.46,-0.71954842004721975,1890.4,105,215,120,2.5326414056253452,0.503193318440905,-0.24959962218664067,-2.384684059784833,-2.4054598201063713,5.17,-6.867963067881677,2.530161691650005,-3.188912421329783,-6.495605041262047,2.155783759394293,37.09740741,124.9385185,1328.407407,2.792622746193405,N
1.07497,73,1,4,73-1-4,73-1,43716,Cereal,Superior,early mid-season,106,17.799109504496563,444.46,-0.71954842004721975,1890.4,140,215,120,2.5326414056253452,0.503193318440905,-0.24959962218664067,-2.384684059784833,-2.4054598201063713,5.17,-6.867963067881677,2.530161691650005,-3.188912421329783,-6.495605041262047,2.155783759394293,37.09740741,124.9385185,1328.407407,2.792622746193405,N
1.07822,73,1,5,73-1-5,73-1,43716,Cereal,Superior,early mid-season,106,17.799109504496563,444.46,-0.71954842004721975,1890.4,140,215,120,2.5326414056253452,0.503193318440905,-0.24959962218664067,-2.384684059784833,-2.4054598201063713,5.17,-6.867963067881677,2.530161691650005,-3.188912421329783,-6.495605041262047,2.155783759394293,37.09740741,124.9385185,1328.407407,2.792622746193405,N
1.07708,73,1,6,73-1-6,73-1,43716,Cereal,Superior,early mid-season,106,17.799109504496563,444.46,-0.71954842004721975,1890.4,175,215,120,2.5326414056253452,0.503193318440905,-0.24959962218664067,-2.384684059784833,-2.4054598201063713,5.17,-6.867963067881677,2.530161691650005,-3.188912421329783,-6.495605041262047,2.155783759394293,37.09740741,124.9385185,1328.407407,2.792622746193405,N
1.07627,73,1,7,73-1-7,73-1,43716,Cereal,Superior,early mid-season,106,17.799109504496563,444.46,-0.71954842004721975,1890.4,210,215,120,2.5326414056253452,0.503193318440905,-0.24959962218664067,-2.384684059784833,-2.4054598201063713,5.17,-6.867963067881677,2.530161691650005,-3.188912421329783,-6.495605041262047,2.155783759394293,37.09740741,124.9385185,1328.407407,2.792622746193405,N
1.07413,73,1,8,73-1-8,73-1,43716,Cereal,Superior,early mid-season,106,17.799109504496563,444.46,-0.71954842004721975,1890.4,105,129,120,2.5326414056253452,0.503193318440905,-0.24959962218664067,-2.384684059784833,-2.4054598201063713,5.17,-6.867963067881677,2.530161691650005,-3.188912421329783,-6.495605041262047,2.155783759394293,37.09740741,124.9385185,1328.407407,2.792622746193405,N
1.07107,73,1,9,73-1-9,73-1,43716,Cereal,Superior,early mid-season,106,17.799109504496563,444.46,-0.71954842004721975,1890.4,105,215,120,2.5326414056253452,0.503193318440905,-0.24959962218664067,-2.384684059784833,-2.4054598201063713,5.17,-6.867963067881677,2.530161691650005,-3.188912421329783,-6.495605041262047,2.155783759394293,37.09740741,124.9385185,1328.407407,2.792622746193405,N
